timestamp,eventCount
"2018-10-06T15:15:00Z",954
"2018-10-06T11:30:00Z",977
"2018-10-06T11:45:00Z",974
"2018-10-06T13:00:00Z",1264
"2018-10-06T13:15:00Z",1458
"2018-10-06T06:30:00Z",64
"2018-10-06T06:45:00Z",42
"2018-10-06T07:00:00Z",72
"2018-10-06T07:15:00Z",52
"2018-10-06T07:30:00Z",65
"2018-10-06T07:45:00Z",78
"2018-10-06T08:15:00Z",90
"2018-10-06T08:30:00Z",144
"2018-10-06T09:00:00Z",252
"2018-10-06T09:15:00Z",387
"2018-10-06T06:00:00Z",102
"2018-10-06T06:15:00Z",107
"2018-10-06T08:00:00Z",127
"2018-10-06T10:15:00Z",455
"2018-10-06T16:00:00Z",944
"2018-10-06T16:15:00Z",799
"2018-10-06T16:30:00Z",744
"2018-10-06T16:45:00Z",667
"2018-10-06T17:00:00Z",626
"2018-10-06T18:45:00Z",583
"2018-10-06T20:30:00Z",460
"2018-10-06T21:15:00Z",499
"2018-10-07T05:30:00Z",88
"2018-10-08T04:45:00Z",395
"2018-10-07T22:00:00Z",1147
"2018-10-07T22:15:00Z",1047
"2018-10-07T22:30:00Z",1021
"2018-10-07T22:45:00Z",902
"2018-10-07T23:00:00Z",1042
"2018-10-07T23:15:00Z",1109
"2018-10-07T17:45:00Z",1632
"2018-10-07T18:00:00Z",1421
"2018-10-07T18:30:00Z",1285
"2018-10-07T18:45:00Z",1419
"2018-10-07T19:00:00Z",1386
"2018-10-07T19:15:00Z",1339
"2018-10-07T19:30:00Z",1313
"2018-10-07T20:15:00Z",1052
"2018-10-07T20:30:00Z",1416
"2018-10-07T20:45:00Z",1236
"2018-10-07T12:00:00Z",1911
"2018-10-07T09:45:00Z",664
"2018-10-07T07:30:00Z",80
"2018-10-07T08:00:00Z",134
"2018-10-07T08:15:00Z",107
"2018-10-07T08:30:00Z",113
"2018-10-07T08:45:00Z",317
"2018-10-07T09:00:00Z",454
"2018-10-07T10:00:00Z",895
"2018-10-07T10:15:00Z",909
"2018-10-07T10:30:00Z",1002
"2018-10-07T10:45:00Z",1220
"2018-10-07T11:00:00Z",1192
"2018-10-07T11:15:00Z",1366
"2018-10-07T11:30:00Z",1696
"2018-10-07T13:30:00Z",2399
"2018-10-01T18:30:00Z",890
"2018-10-01T18:45:00Z",827
"2018-10-01T19:00:00Z",849
"2018-10-01T19:15:00Z",869
"2018-10-01T19:30:00Z",868
"2018-10-01T19:45:00Z",704
"2018-10-01T20:00:00Z",713
"2018-10-01T20:15:00Z",819
"2018-10-01T20:30:00Z",720
"2018-10-01T20:45:00Z",699
"2018-09-30T13:00:00Z",1006
"2018-10-01T12:45:00Z",1760
"2018-10-01T13:00:00Z",1834
"2018-10-01T13:15:00Z",1546
"2018-10-01T13:30:00Z",1691
"2018-10-01T13:45:00Z",1334
"2018-10-01T14:00:00Z",1487
"2018-10-01T14:15:00Z",1466
"2018-10-01T14:45:00Z",1455
"2018-09-30T03:15:00Z",238
"2018-09-30T02:00:00Z",337
"2018-09-30T02:15:00Z",279
"2018-09-29T15:30:00Z",796
"2018-09-29T15:45:00Z",807
"2018-09-29T16:00:00Z",659
"2018-09-29T16:15:00Z",814
"2018-09-29T18:15:00Z",582
"2018-09-30T05:15:00Z",128
"2018-10-04T01:15:00Z",456
"2018-10-04T04:00:00Z",141
"2018-10-04T04:15:00Z",183
"2018-10-04T04:30:00Z",154
"2018-10-04T04:45:00Z",159
"2018-10-04T05:00:00Z",158
"2018-10-04T06:00:00Z",77
"2018-10-04T06:15:00Z",57
"2018-10-04T05:15:00Z",111
"2018-10-03T20:45:00Z",807
"2018-10-03T21:00:00Z",656
"2018-10-03T21:15:00Z",658
"2018-10-03T21:30:00Z",667
"2018-10-03T21:45:00Z",579
"2018-10-03T22:00:00Z",593
"2018-10-03T22:15:00Z",608
"2018-10-03T20:30:00Z",792
"2018-10-03T13:00:00Z",1693
"2018-10-03T16:00:00Z",1453
"2018-10-03T16:15:00Z",1174
"2018-10-03T16:30:00Z",1186
"2018-10-03T16:45:00Z",1039
"2018-10-03T17:15:00Z",975
"2018-10-03T17:30:00Z",1136
"2018-10-03T13:45:00Z",1552
"2018-10-03T14:00:00Z",1669
"2018-10-03T14:15:00Z",1600
"2018-10-03T14:30:00Z",1390
"2018-10-03T14:45:00Z",1382
"2018-10-03T15:00:00Z",1391
"2018-10-03T15:30:00Z",1492
"2018-10-02T15:45:00Z",1194
"2018-10-03T13:30:00Z",1620
"2018-10-03T11:30:00Z",1387
"2018-10-03T11:45:00Z",1471
"2018-10-03T12:00:00Z",1591
"2018-10-03T12:15:00Z",1644
"2018-10-03T12:30:00Z",1726
"2018-10-03T09:45:00Z",477
"2018-10-03T10:00:00Z",620
"2018-10-03T10:15:00Z",731
"2018-10-03T10:30:00Z",874
"2018-10-03T10:45:00Z",845
"2018-10-03T11:00:00Z",998
"2018-10-03T11:15:00Z",991
"2018-10-03T13:15:00Z",1678
"2018-10-03T06:45:00Z",68
"2018-10-03T22:30:00Z",508
"2018-10-03T22:45:00Z",500
"2018-10-03T23:00:00Z",511
"2018-10-03T23:15:00Z",684
"2018-10-03T23:30:00Z",547
"2018-10-04T00:45:00Z",541
"2018-10-04T01:30:00Z",376
"2018-10-04T01:45:00Z",447
"2018-10-04T02:00:00Z",422
"2018-10-04T02:15:00Z",432
"2018-10-04T02:30:00Z",352
"2018-10-04T02:45:00Z",347
"2018-09-27T05:30:00Z",148
"2018-09-27T05:45:00Z",99
"2018-09-27T06:00:00Z",142
"2018-09-27T04:45:00Z",114
"2018-09-27T05:00:00Z",122
"2018-09-27T05:15:00Z",147
"2018-09-26T22:30:00Z",529
"2018-09-26T22:45:00Z",578
"2018-09-26T23:00:00Z",568
"2018-09-26T23:15:00Z",545
"2018-09-26T23:30:00Z",511
"2018-09-26T23:45:00Z",516
"2018-09-26T03:00:00Z",254
"2018-09-26T21:45:00Z",558
"2018-09-26T22:00:00Z",548
"2018-09-26T22:15:00Z",596
"2018-09-27T04:00:00Z",206
"2018-10-02T06:00:00Z",103
"2018-10-01T21:00:00Z",629
"2018-10-01T21:30:00Z",554
"2018-10-01T21:45:00Z",553
"2018-10-01T17:45:00Z",897
"2018-10-01T01:00:00Z",414
"2018-10-01T11:15:00Z",987
"2018-10-01T11:30:00Z",1138
"2018-10-01T11:45:00Z",1358
"2018-10-01T12:00:00Z",1430
"2018-10-01T12:15:00Z",1540
"2018-10-01T12:30:00Z",1579
"2018-10-01T14:30:00Z",1581
"2018-10-01T15:15:00Z",1166
"2018-10-01T15:30:00Z",1245
"2018-10-01T15:45:00Z",1188
"2018-10-01T16:00:00Z",1249
"2018-10-01T16:15:00Z",1193
"2018-10-01T17:00:00Z",995
"2018-10-02T01:15:00Z",466
"2018-09-25T21:30:00Z",546
"2018-09-25T21:45:00Z",529
"2018-09-25T22:00:00Z",509
"2018-09-25T22:15:00Z",438
"2018-09-25T22:45:00Z",473
"2018-09-25T23:00:00Z",563
"2018-09-25T23:15:00Z",588
"2018-09-25T23:30:00Z",502
"2018-09-25T23:45:00Z",516
"2018-09-26T00:00:00Z",396
"2018-09-25T18:00:00Z",989
"2018-09-25T14:45:00Z",1168
"2018-09-25T15:00:00Z",1412
"2018-09-25T15:15:00Z",1292
"2018-09-25T15:45:00Z",1275
"2018-09-25T16:30:00Z",1308
"2018-09-25T16:15:00Z",1314
"2018-09-25T16:00:00Z",1251
"2018-09-25T17:00:00Z",1191
"2018-09-25T17:15:00Z",1212
"2018-09-25T17:30:00Z",1112
"2018-09-25T17:45:00Z",1047
"2018-10-01T01:45:00Z",385
"2018-09-30T23:45:00Z",471
"2018-10-01T00:00:00Z",419
"2018-10-01T00:15:00Z",424
"2018-10-01T00:30:00Z",456
"2018-10-01T00:45:00Z",426
"2018-10-01T01:15:00Z",439
"2018-09-29T13:00:00Z",1060
"2018-09-30T19:45:00Z",515
"2018-09-30T20:00:00Z",468
"2018-09-30T20:15:00Z",439
"2018-09-30T20:30:00Z",409
"2018-09-30T20:45:00Z",471
"2018-09-30T21:30:00Z",446
"2018-09-30T21:45:00Z",447
"2018-09-30T13:45:00Z",1130
"2018-09-30T14:00:00Z",1029
"2018-09-30T14:30:00Z",828
"2018-09-30T11:00:00Z",716
"2018-09-30T11:15:00Z",645
"2018-09-30T11:30:00Z",818
"2018-09-30T11:45:00Z",921
"2018-09-30T12:00:00Z",851
"2018-09-30T12:15:00Z",1002
"2018-09-30T12:30:00Z",1014
"2018-09-30T12:45:00Z",931
"2018-10-09T11:15:00Z",2242
"2018-09-30T06:15:00Z",88
"2018-09-30T04:30:00Z",109
"2018-09-30T04:45:00Z",110
"2018-09-30T05:45:00Z",73
"2018-09-30T06:00:00Z",105
"2018-10-07T02:15:00Z",298
"2018-10-06T15:30:00Z",893
"2018-10-06T15:45:00Z",858
"2018-10-04T03:15:00Z",268
"2018-10-04T03:30:00Z",247
"2018-10-03T18:45:00Z",810
"2018-10-03T19:00:00Z",909
"2018-10-03T19:15:00Z",746
"2018-10-03T19:30:00Z",832
"2018-10-03T20:00:00Z",801
"2018-10-03T20:15:00Z",770
"2018-09-30T00:15:00Z",351
"2018-09-30T14:45:00Z",756
"2018-09-30T15:00:00Z",890
"2018-09-30T15:15:00Z",859
"2018-09-30T15:30:00Z",881
"2018-09-30T15:45:00Z",731
"2018-10-06T01:45:00Z",469
"2018-10-06T02:00:00Z",274
"2018-10-05T13:30:00Z",1627
"2018-10-05T19:15:00Z",737
"2018-10-05T19:45:00Z",761
"2018-10-05T20:00:00Z",648
"2018-10-05T20:15:00Z",760
"2018-10-05T20:45:00Z",710
"2018-10-05T03:00:00Z",287
"2018-10-05T03:30:00Z",239
"2018-10-05T03:45:00Z",266
"2018-10-05T04:00:00Z",257
"2018-10-05T04:15:00Z",163
"2018-10-05T04:30:00Z",161
"2018-10-05T04:45:00Z",137
"2018-10-05T05:15:00Z",117
"2018-10-04T17:30:00Z",1099
"2018-10-05T18:45:00Z",842
"2018-10-05T19:30:00Z",636
"2018-10-08T12:00:00Z",1586
"2018-10-08T12:15:00Z",1569
"2018-10-08T12:30:00Z",1692
"2018-10-08T12:45:00Z",1647
"2018-10-08T13:00:00Z",1866
